Team,PredictedGold2028,PredictedTotal2028,Gold_lower95,Gold_upper95,Total_lower95,Total_upper95,ActualGold2024,ActualTotal2024,DeltaGold,DeltaTotal
PLE,0.03585719803355934,0.053145913142760494,-6.964142801966441,7.035857198033559,-14.94685408685724,15.05314591314276,0.0,0.0,0.03585719803355934,0.053145913142760494
ESA,0.03585719803355934,0.053145913142760494,-6.964142801966441,7.035857198033559,-14.94685408685724,15.05314591314276,0.0,0.0,0.03585719803355934,0.053145913142760494
ALB,0.03585719803355934,1.3493985375845137,-6.964142801966441,7.035857198033559,-13.650601462415487,16.349398537584513,0.0,2.0,0.03585719803355934,-0.6506014624154863
LBR,0.03585719803355934,0.053145913142760494,-6.964142801966441,7.035857198033559,-14.94685408685724,15.05314591314276,0.0,0.0,0.03585719803355934,0.053145913142760494
BER,0.03585719803355934,0.053145913142760494,-6.964142801966441,7.035857198033559,-14.94685408685724,15.05314591314276,0.0,0.0,0.03585719803355934,0.053145913142760494
KSA,0.03585719803355934,0.053145913142760494,-6.964142801966441,7.035857198033559,-14.94685408685724,15.05314591314276,0.0,0.0,0.03585719803355934,0.053145913142760494
TAN,0.03450521257734378,0.04962233523232492,-6.9654947874226565,7.0345052125773435,-14.950377664767675,15.049622335232325,0.0,0.0,0.03450521257734378,0.04962233523232492
NIG,0.03450521257734378,0.04962233523232492,-6.9654947874226565,7.0345052125773435,-14.950377664767675,15.049622335232325,0.0,0.0,0.03450521257734378,0.04962233523232492
NCA,0.03450521257734378,0.04962233523232492,-6.9654947874226565,7.0345052125773435,-14.950377664767675,15.049622335232325,0.0,0.0,0.03450521257734378,0.04962233523232492
RWA,0.03450521257734378,0.04962233523232492,-6.9654947874226565,7.0345052125773435,-14.950377664767675,15.049622335232325,0.0,0.0,0.03450521257734378,0.04962233523232492
PNG,0.03450521257734378,0.04962233523232492,-6.9654947874226565,7.0345052125773435,-14.950377664767675,15.049622335232325,0.0,0.0,0.03450521257734378,0.04962233523232492
MOZ,0.03450521257734378,0.04962233523232492,-6.9654947874226565,7.0345052125773435,-14.950377664767675,15.049622335232325,0.0,0.0,0.03450521257734378,0.04962233523232492
NEP,0.03450521257734378,0.04962233523232492,-6.9654947874226565,7.0345052125773435,-14.950377664767675,15.049622335232325,0.0,0.0,0.03450521257734378,0.04962233523232492
ZIM,0.03450521257734378,0.04962233523232492,-6.9654947874226565,7.0345052125773435,-14.950377664767675,15.049622335232325,0.0,0.0,0.03450521257734378,0.04962233523232492
GUM,0.03450521257734378,0.04962233523232492,-6.9654947874226565,7.0345052125773435,-14.950377664767675,15.049622335232325,0.0,0.0,0.03450521257734378,0.04962233523232492
HAI,0.03450521257734378,0.04962233523232492,-6.9654947874226565,7.0345052125773435,-14.950377664767675,15.049622335232325,0.0,0.0,0.03450521257734378,0.04962233523232492
BDI,0.03450521257734378,0.04962233523232492,-6.9654947874226565,7.0345052125773435,-14.950377664767675,15.049622335232325,0.0,0.0,0.03450521257734378,0.04962233523232492
CPV,0.03450521257734378,1.1985870434198385,-6.9654947874226565,7.0345052125773435,-13.801412956580162,16.19858704341984,0.0,1.0,0.03450521257734378,0.19858704341983846
DJI,0.03450521257734378,0.04962233523232492,-6.9654947874226565,7.0345052125773435,-14.950377664767675,15.049622335232325,0.0,0.0,0.03450521257734378,0.04962233523232492
MAD,0.03450521257734378,0.04962233523232492,-6.9654947874226565,7.0345052125773435,-14.950377664767675,15.049622335232325,0.0,0.0,0.03450521257734378,0.04962233523232492
GAM,0.03450521257734378,0.04962233523232492,-6.9654947874226565,7.0345052125773435,-14.950377664767675,15.049622335232325,0.0,0.0,0.03450521257734378,0.04962233523232492
GHA,0.02963151301056784,0.05689839293800415,-6.9703684869894325,7.0296315130105675,-14.943101607061996,15.056898392938004,0.0,0.0,0.02963151301056784,0.05689839293800415
KUW,0.02963151301056784,0.05689839293800415,-6.9703684869894325,7.0296315130105675,-14.943101607061996,15.056898392938004,0.0,0.0,0.02963151301056784,0.05689839293800415
LBN,0.02963151301056784,0.05689839293800415,-6.9703684869894325,7.0296315130105675,-14.943101607061996,15.056898392938004,0.0,0.0,0.02963151301056784,0.05689839293800415
SOL,0.0257426790984841,0.0187790513803346,-6.974257320901516,7.025742679098484,-14.981220948619665,15.018779051380335,0.0,0.0,0.0257426790984841,0.0187790513803346
TUV,0.0257426790984841,0.0187790513803346,-6.974257320901516,7.025742679098484,-14.981220948619665,15.018779051380335,0.0,0.0,0.0257426790984841,0.0187790513803346
NRU,0.0257426790984841,0.0187790513803346,-6.974257320901516,7.025742679098484,-14.981220948619665,15.018779051380335,0.0,0.0,0.0257426790984841,0.0187790513803346
ASA,0.0257426790984841,0.0187790513803346,-6.974257320901516,7.025742679098484,-14.981220948619665,15.018779051380335,0.0,0.0,0.0257426790984841,0.0187790513803346
LIE,0.0257426790984841,0.0187790513803346,-6.974257320901516,7.025742679098484,-14.981220948619665,15.018779051380335,0.0,0.0,0.0257426790984841,0.0187790513803346
MYA,0.0257426790984841,0.0187790513803346,-6.974257320901516,7.025742679098484,-14.981220948619665,15.018779051380335,0.0,0.0,0.0257426790984841,0.0187790513803346
MTN,0.0257426790984841,0.0187790513803346,-6.974257320901516,7.025742679098484,-14.981220948619665,15.018779051380335,0.0,0.0,0.0257426790984841,0.0187790513803346
COK,0.0257426790984841,0.0187790513803346,-6.974257320901516,7.025742679098484,-14.981220948619665,15.018779051380335,0.0,0.0,0.0257426790984841,0.0187790513803346
AND,0.0257426790984841,0.0187790513803346,-6.974257320901516,7.025742679098484,-14.981220948619665,15.018779051380335,0.0,0.0,0.0257426790984841,0.0187790513803346
SOM,0.0257426790984841,0.0187790513803346,-6.974257320901516,7.025742679098484,-14.981220948619665,15.018779051380335,0.0,0.0,0.0257426790984841,0.0187790513803346
BIZ,0.0257426790984841,0.0187790513803346,-6.974257320901516,7.025742679098484,-14.981220948619665,15.018779051380335,0.0,0.0,0.0257426790984841,0.0187790513803346
GBS,0.011246107689235518,0.04708092840145221,-6.988753892310765,7.011246107689235,-14.952919071598547,15.047080928401453,0.0,0.0,0.011246107689235518,0.04708092840145221
AFG,0.011246107689235518,0.04708092840145221,-6.988753892310765,7.011246107689235,-14.952919071598547,15.047080928401453,0.0,0.0,0.011246107689235518,0.04708092840145221
CMR,0.011246107689235518,0.04708092840145221,-6.988753892310765,7.011246107689235,-14.952919071598547,15.047080928401453,0.0,0.0,0.011246107689235518,0.04708092840145221
COD,0.011246107689235518,0.04708092840145221,-6.988753892310765,7.011246107689235,-14.952919071598547,15.047080928401453,0.0,0.0,0.011246107689235518,0.04708092840145221
SRI,0.011246107689235518,0.04708092840145221,-6.988753892310765,7.011246107689235,-14.952919071598547,15.047080928401453,0.0,0.0,0.011246107689235518,0.04708092840145221
